Gender,comfort_food_reasons_coded,cook,cuisine,diet_current_coded,eating_changes_coded,eating_changes_coded1,eating_out,exercise,fav_cuisine_coded,fav_food,fruit_day,ideal_diet_coded,income,marital_status,on_off_campus,parents_cook,pay_meal_out,sports,weight
2,2,3,1,2,1,3,1,2,0,2,5,7,5,1,1,1,2,2,140
2,2,1,1,2,2,12,4,1,2,1,3,3,6,2,3,1,3,1,200
2,9,2,4,4,3,4,1,2,0,2,4,8,3,4,2,3,5,2,nan
1,3,3,1,1,1,3,2,1,1,1,5,2,5,2,1,2,4,2,120
1,2,2,1,2,1,3,2,2,5,3,4,3,3,1,2,1,3,1,150
2,2,2,1,2,2,13,2,2,5,2,3,7,3,2,1,1,3,1,200
1,1,2,1,3,1,2,2,1,4,1,5,3,5,2,1,1,3,1,135
2,2,5,1,2,1,7,1,1,4,1,5,8,6,1,1,1,3,1,145
1,7,3,1,2,1,3,3,2,1,3,3,2,4,1,1,1,3,2,130
1,2,3,1,2,1,3,3,1,1,1,4,3,4,2,1,3,5,1,190
1,2,nan,1,4,1,3,5,1,1,1,3,2,3,1,1,2,3,1,170
1,2,2,1,2,1,2,2,nan,2,1,4,5,1,nan,1,2,2,1,127
1,3,1,1,1,2,5,2,1,2,3,5,5,5,2,1,1,3,1,167
1,1,3,1,3,1,2,3,3,4,3,5,5,6,2,1,2,3,2,140
1,2,2,1,1,2,5,1,2,4,3,5,5,6,1,1,1,3,1,190
2,3,4,1,2,1,3,2,1,5,2,4,2,6,1,1,1,3,1,155
2,9,nan,1,2,2,5,1,1,2,1,4,6,2,1,1,1,4,2,175
1,1,3,nan,2,2,5,2,1,4,1,5,2,3,1,1,2,3,2,129
2,2,4,nan,1,2,5,2,1,1,1,5,4,6,1,1,1,4,1,260
1,2,2,1,2,1,3,3,2,5,3,2,2,6,2,2,3,3,2,135
2,1,2,1,2,2,5,5,3,5,1,1,3,3,2,1,1,3,1,190
2,2,4,1,2,1,2,2,3,1,1,4,2,4,1,1,1,4,2,165
2,5,2,nan,1,1,3,2,1,1,1,5,7,6,2,1,1,3,1,175
2,2,3,1,2,1,2,2,1,5,3,4,6,5,2,1,1,3,1,184
2,7,2,2,2,2,5,2,2,1,3,3,2,6,1,1,2,3,2,210
1,2,3,1,1,2,5,2,1,1,1,5,2,5,1,1,1,5,1,155
2,3,4,6,2,2,5,5,2,1,nan,5,3,6,2,4,3,6,1,185
1,3,4,2,2,2,5,3,nan,1,1,5,4,4,2,1,1,3,1,165
1,3,3,1,1,1,3,2,2,1,1,5,4,2,2,1,1,2,1,125
1,2,3,1,2,1,11,2,3,4,3,5,2,5,1,1,1,2,2,160
1,3,2,1,1,2,5,3,1,1,3,5,3,nan,1,1,2,3,2,135
1,8,2,1,1,1,3,2,2,8,1,5,2,4,1,1,2,3,2,130
1,2,4,1,2,1,2,2,nan,1,3,4,2,5,1,1,2,4,2,230
1,2,3,1,2,1,10,3,2,1,3,3,5,4,2,2,1,5,1,125
1,,2,nan,1,2,12,5,2,4,1,5,1,1,1,1,1,3,2,130
1,,2,1,1,1,2,2,1,1,3,4,2,4,1,1,1,3,2,165
1,,5,1,1,1,2,2,1,1,2,5,1,6,2,1,2,3,1,128
1,,2,1,2,2,5,3,3,1,2,4,2,6,1,1,2,3,2,200
1,,3,2,2,1,3,4,2,1,1,3,2,3,2,2,2,4,1,160
2,,2,nan,1,2,5,2,2,0,1,3,2,5,1,3,1,6,2,170
1,,1,1,1,2,5,4,1,1,3,5,4,6,2,1,2,3,2,129
1,,2,1,2,1,2,3,2,1,1,4,7,6,2,1,2,3,2,170
2,,3,4,2,1,10,3,2,4,3,4,2,3,2,1,1,5,1,138
2,,4,1,2,1,3,2,1,0,3,5,3,6,2,1,1,5,1,150
1,,3,nan,2,1,3,4,2,4,2,5,5,1,1,1,2,3,2,170
1,,3,4,1,2,5,2,nan,4,3,3,2,2,1,1,1,2,2,113
1,,3,1,2,2,5,2,2,5,1,5,5,3,2,3,3,4,2,140
2,,2,5,2,2,5,2,2,8,3,5,3,2,2,1,1,3,1,185
1,,3,1,2,1,3,2,2,1,1,5,6,4,1,3,1,4,1,156
1,,3,nan,2,1,3,4,2,2,1,4,5,2,1,1,3,4,nan,180
1,,3,nan,2,1,3,3,2,4,1,4,2,2,1,1,2,4,2,120
2,,3,1,1,1,8,5,1,1,3,5,6,4,1,1,2,3,2,135
1,,nan,3,1,2,5,1,2,2,1,3,3,5,2,1,3,3,2,135
