,title,address.label,distance,access,position.lat,position.lng,address.postalCode,contacts,id
10,Maple Leaf Property Management,"Maple Leaf Property Management, 40 Gerrard St E, Toronto, ON M5B, Canada",864,"[{'lat': 43.65947, 'lng': -79.38027}]",43.65984,-79.38043,M5B,"[{'phone': [{'value': '+14169772921'}], 'fax': [{'value': '+14169773150', 'categories': [{'id': '900-9300-0221'}]}], 'www': [{'value': 'http://www.mapleleafapartments.ca', 'categories': [{'id': '900-9300-0221'}]}]}]",here:pds:place:124dpz83-1568513bec1142448a6bf888df3e21a2
11,Minto Yorkville,"Minto Yorkville, 61 Yorkville Ave, Toronto, ON M5R, Canada",899,"[{'lat': 43.67127, 'lng': -79.39059}]",43.67098,-79.39049,M5R,"[{'phone': [{'value': '+14169231000'}, {'value': '+14169258484', 'categories': [{'id': '700-7400-0000'}]}, {'value': '+16474755920', 'categories': [{'id': '700-7200-0274'}, {'id': '700-7200-0324'}, {'id': '900-9300-0221'}]}], 'fax': [{'value': '+14169242446', 'categories': [{'id': '500-5000-0053'}]}], 'www': [{'value': 'http://www.mintofurnishedsuites.com', 'categories': [{'id': '500-5000-0053'}]}, {'value': 'https://www.minto.com/gta/Toronto-apartment-rentals/Minto-Yorkville/main.html?y_source=1_MTM3MjMzNzMtNDQwLWxvY2F0aW9uLndlYnNpdGU=', 'categories': [{'id': '900-9300-0221'}]}, {'value': 'https://www.minto.com/gta/Toronto-apartment-rentals/Minto-Yorkville/main.html?y_source=1_MTM3MjMzNzMtNTY2LWxvY2F0aW9uLndlYnNpdGU%3D', 'categories': [{'id': '700-7200-0274'}, {'id': '700-7200-0324'}]}]}]",here:pds:place:124dpz83-c28e299cbd3a4ebf9446c9510159cfbb
12,Isabella Apartments,"Isabella Apartments, 88 Isabella St, Toronto, ON M4Y, Canada",971,"[{'lat': 43.6685, 'lng': -79.38121}]",43.66873,-79.38131,M4Y,"[{'phone': [{'value': '+14169200251'}], 'www': [{'value': 'http://www.caprent.com/Properties/Ontario/Toronto/Isabella.aspx', 'categories': [{'id': '700-7400-0145'}, {'id': '900-9300-0221'}]}]}]",here:pds:place:124dpz83-6d98e661abf547918c15530a22b4de50
13,Plaza II Apartments,"Plaza II Apartments, 88 Bloor St E, Toronto, ON M4W, Canada",982,"[{'lat': 43.67064, 'lng': -79.38487}]",43.67085,-79.38497,M4W,"[{'phone': [{'value': '+14169229155'}], 'fax': [{'value': '+14169227176', 'categories': [{'id': '900-9300-0221'}]}], 'email': [{'value': 'property_mgmt@on.aibn.com', 'categories': [{'id': '900-9300-0221'}]}]}]",here:pds:place:124dpz83-cc196845a0d7471ea1a47b5528e842e0
14,MTCC 619,"MTCC 619, 77 Carlton St, Toronto, ON M5B, Canada",983,"[{'lat': 43.66208, 'lng': -79.37821}]",43.66192,-79.37816,M5B,"[{'phone': [{'value': '+14165961100'}], 'fax': [{'value': '+14165969020', 'categories': [{'id': '700-7200-0344'}, {'id': '900-9300-0221'}]}], 'www': [{'value': 'http://www.77carlton.com', 'categories': [{'id': '700-7200-0344'}, {'id': '900-9300-0221'}]}]}]",here:pds:place:124dpz83-181feb69118044409aae637fa924da0d
15,Vertica Resident Services,"Vertica Resident Services, 50 Prince Arthur Ave, Toronto, ON M5R, Canada",986,"[{'lat': 43.66913, 'lng': -79.39845}]",43.66944,-79.39857,M5R,"[{'phone': [{'value': '+14169253000', 'categories': [{'id': '700-7200-0344'}]}, {'value': '+14169254015'}], 'www': [{'value': 'http://www.vertica.ca', 'categories': [{'id': '700-7200-0344'}]}]}]",here:pds:place:124dpz83-95d396b91f0b41a099884101b7a1998a
16,Raamco International Canadian,"Raamco International Canadian, 105 Isabella St, Toronto, ON M4Y, Canada",1039,"[{'lat': 43.66874, 'lng': -79.38002}]",43.66846,-79.37992,M4Y,"[{'phone': [{'value': '+14169228120'}], 'fax': [{'value': '+14169228532', 'categories': [{'id': '900-9300-0221'}]}]}]",here:pds:place:124dpz83-68aacc96a16e42ada72c247923f8bf64
17,Primrose Student Residence,"Primrose Student Residence, 111 Carlton St, Toronto, ON M5B, Canada",1078,"[{'lat': 43.66233, 'lng': -79.37707}]",43.66206,-79.37695,M5B,[{'phone': [{'value': '+18005658865'}]}],here:pds:place:124dpz83-d7008de384414a6cbcb521493d09d302
18,Massey House,"Massey House, 550 Jarvis St, Toronto, ON M4Y, Canada",1083,"[{'lat': 43.66899, 'lng': -79.37946}]",43.66893,-79.37973,M4Y,"[{'phone': [{'value': '+14169622860'}], 'fax': [{'value': '+14169075391', 'categories': [{'id': '900-9300-0221'}]}], 'www': [{'value': 'http://www.massey.ca', 'categories': [{'id': '900-9300-0221'}]}]}]",here:pds:place:124dpz83-98d1ed914b6d4744aa98da1697baa459
19,X Condo Consierge,"X Condo Consierge, 110 Charles St E, Toronto, ON M4Y, Canada",1121,"[{'lat': 43.66988, 'lng': -79.3804}]",43.67008,-79.38051,M4Y,[{'phone': [{'value': '+14169226592'}]}],here:pds:place:124dpz83-d45ec887714d4a729e0e7b7bfbc31157
