,title,id,language,ontologyId,resultType,access,distance,categories,references,openingHours,address.label,address.countryCode,address.countryName,address.stateCode,address.state,address.county,address.city,address.district,address.street,address.postalCode,address.houseNumber,position.lat,position.lng,contacts,payment.methods
10,Maple Leaf Property Management,here:pds:place:124dpz83-1568513bec1142448a6bf888df3e21a2,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 43.65947, 'lng': -79.38027}]",864,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}, {'id': '900-9300-0221', 'name': 'Residential Area/Building'}]",,"[{'categories': [{'id': '900-9300-0221'}], 'text': ['Mon-Fri: 09:00 - 17:00', 'Sat: 11:00 - 15:00'], 'isOpen': False, 'structured': [{'start': 'T090000', 'duration': 'PT08H00M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR'}, {'start': 'T110000', 'duration': 'PT04H00M', 'recurrence': 'FREQ:DAILY;BYDAY:SA'}]}]","Maple Leaf Property Management, 40 Gerrard St E, Toronto, ON M5B, Canada",CAN,Canada,ON,Ontario,Toronto,Toronto,Church-Yonge Corridor,Gerrard St E,M5B,40,43.65984,-79.38043,"[{'phone': [{'value': '+14169772921'}], 'fax': [{'value': '+14169773150', 'categories': [{'id': '900-9300-0221'}]}], 'www': [{'value': 'http://www.mapleleafapartments.ca', 'categories': [{'id': '900-9300-0221'}]}]}]",
11,Minto Yorkville,here:pds:place:124dpz83-c28e299cbd3a4ebf9446c9510159cfbb,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 43.67127, 'lng': -79.39059}]",899,"[{'id': '700-7400-0000', 'name': 'Consumer Services', 'primary': True}, {'id': '500-5000-0053', 'name': 'Hotel'}, {'id': '700-7200-0274', 'name': 'Rental and Leasing'}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}, {'id': '900-9300-0221', 'name': 'Residential Area/Building'}]","[{'supplier': {'id': 'yelp'}, 'id': 'tcN_sjF8PLgi-IBorv26Uw'}, {'supplier': {'id': 'yelp'}, 'id': 'yFrtv1-sKQU5xR9sjSoK4g'}]","[{'categories': [{'id': '500-5000-0053'}], 'text': ['Mon-Fri: 09:00 - 17:00'], 'isOpen': False, 'structured': [{'start': 'T090000', 'duration': 'PT08H00M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR'}]}, {'categories': [{'id': '700-7200-0274'}, {'id': '700-7200-0324'}, {'id': '900-9300-0221'}], 'text': ['Mon-Thu: 08:00 - 20:00', 'Fri: 08:00 - 18:00', 'Sat, Sun: 10:00 - 16:00'], 'isOpen': True, 'structured': [{'start': 'T080000', 'duration': 'PT12H00M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH'}, {'start': 'T080000', 'duration': 'PT10H00M', 'recurrence': 'FREQ:DAILY;BYDAY:FR'}, {'start': 'T100000', 'duration': 'PT06H00M', 'recurrence': 'FREQ:DAILY;BYDAY:SA,SU'}]}]","Minto Yorkville, 61 Yorkville Ave, Toronto, ON M5R, Canada",CAN,Canada,ON,Ontario,Toronto,Toronto,Annex,Yorkville Ave,M5R,61,43.67098,-79.39049,"[{'phone': [{'value': '+14169231000'}, {'value': '+14169258484', 'categories': [{'id': '700-7400-0000'}]}, {'value': '+16474755920', 'categories': [{'id': '700-7200-0274'}, {'id': '700-7200-0324'}, {'id': '900-9300-0221'}]}], 'fax': [{'value': '+14169242446', 'categories': [{'id': '500-5000-0053'}]}], 'www': [{'value': 'http://www.mintofurnishedsuites.com', 'categories': [{'id': '500-5000-0053'}]}, {'value': 'https://www.minto.com/gta/Toronto-apartment-rentals/Minto-Yorkville/main.html?y_source=1_MTM3MjMzNzMtNDQwLWxvY2F0aW9uLndlYnNpdGU=', 'categories': [{'id': '900-9300-0221'}]}, {'value': 'https://www.minto.com/gta/Toronto-apartment-rentals/Minto-Yorkville/main.html?y_source=1_MTM3MjMzNzMtNTY2LWxvY2F0aW9uLndlYnNpdGU%3D', 'categories': [{'id': '700-7200-0274'}, {'id': '700-7200-0324'}]}]}]",
12,Isabella Apartments,here:pds:place:124dpz83-6d98e661abf547918c15530a22b4de50,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 43.6685, 'lng': -79.38121}]",971,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}, {'id': '700-7400-0145', 'name': 'Real Estate Services'}, {'id': '900-9300-0221', 'name': 'Residential Area/Building'}]","[{'supplier': {'id': 'yelp'}, 'id': 'aimLuINt-gTGOYAzo4lsKQ'}, {'supplier': {'id': 'yelp'}, 'id': 'jl7a0dlv7k6Z-wKAydiRxg'}]","[{'categories': [{'id': '700-7200-0324'}], 'text': ['Mon-Fri: 08:00 - 17:00'], 'isOpen': False, 'structured': [{'start': 'T080000', 'duration': 'PT09H00M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR'}]}, {'categories': [{'id': '700-7400-0145'}, {'id': '900-9300-0221'}], 'text': ['Mon-Fri: 09:00 - 17:00'], 'isOpen': False, 'structured': [{'start': 'T090000', 'duration': 'PT08H00M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR'}]}]","Isabella Apartments, 88 Isabella St, Toronto, ON M4Y, Canada",CAN,Canada,ON,Ontario,Toronto,Toronto,Church-Yonge Corridor,Isabella St,M4Y,88,43.66873,-79.38131,"[{'phone': [{'value': '+14169200251'}], 'www': [{'value': 'http://www.caprent.com/Properties/Ontario/Toronto/Isabella.aspx', 'categories': [{'id': '700-7400-0145'}, {'id': '900-9300-0221'}]}]}]",
13,Plaza II Apartments,here:pds:place:124dpz83-cc196845a0d7471ea1a47b5528e842e0,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 43.67064, 'lng': -79.38487}]",982,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}, {'id': '900-9300-0221', 'name': 'Residential Area/Building'}]","[{'supplier': {'id': 'yelp'}, 'id': 'yEUAPr2ZdeXFUwgfsPrJ0w'}]","[{'categories': [{'id': '900-9300-0221'}], 'text': ['Mon-Fri: 09:00 - 17:00', 'Sat, Sun: 11:00 - 16:00'], 'isOpen': True, 'structured': [{'start': 'T090000', 'duration': 'PT08H00M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR'}, {'start': 'T110000', 'duration': 'PT05H00M', 'recurrence': 'FREQ:DAILY;BYDAY:SA,SU'}]}]","Plaza II Apartments, 88 Bloor St E, Toronto, ON M4W, Canada",CAN,Canada,ON,Ontario,Toronto,Toronto,Rosedale-Moore Park,Bloor St E,M4W,88,43.67085,-79.38497,"[{'phone': [{'value': '+14169229155'}], 'fax': [{'value': '+14169227176', 'categories': [{'id': '900-9300-0221'}]}], 'email': [{'value': 'property_mgmt@on.aibn.com', 'categories': [{'id': '900-9300-0221'}]}]}]",
14,MTCC 619,here:pds:place:124dpz83-181feb69118044409aae637fa924da0d,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 43.66208, 'lng': -79.37821}]",983,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}, {'id': '700-7200-0344', 'name': 'Property Management'}, {'id': '900-9300-0221', 'name': 'Residential Area/Building'}]",,,"MTCC 619, 77 Carlton St, Toronto, ON M5B, Canada",CAN,Canada,ON,Ontario,Toronto,Toronto,Church-Yonge Corridor,Carlton St,M5B,77,43.66192,-79.37816,"[{'phone': [{'value': '+14165961100'}], 'fax': [{'value': '+14165969020', 'categories': [{'id': '700-7200-0344'}, {'id': '900-9300-0221'}]}], 'www': [{'value': 'http://www.77carlton.com', 'categories': [{'id': '700-7200-0344'}, {'id': '900-9300-0221'}]}]}]","[{'id': 'mastercard', 'accepted': True}]"
15,Vertica Resident Services,here:pds:place:124dpz83-95d396b91f0b41a099884101b7a1998a,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 43.66913, 'lng': -79.39845}]",986,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}, {'id': '700-7200-0344', 'name': 'Property Management'}]",,,"Vertica Resident Services, 50 Prince Arthur Ave, Toronto, ON M5R, Canada",CAN,Canada,ON,Ontario,Toronto,Toronto,Annex,Prince Arthur Ave,M5R,50,43.66944,-79.39857,"[{'phone': [{'value': '+14169253000', 'categories': [{'id': '700-7200-0344'}]}, {'value': '+14169254015'}], 'www': [{'value': 'http://www.vertica.ca', 'categories': [{'id': '700-7200-0344'}]}]}]",
16,Raamco International Canadian,here:pds:place:124dpz83-68aacc96a16e42ada72c247923f8bf64,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 43.66874, 'lng': -79.38002}]",1039,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}, {'id': '900-9300-0221', 'name': 'Residential Area/Building'}]","[{'supplier': {'id': 'yelp'}, 'id': 'xwFKUcZn40Di2G_u2z0BJQ'}]","[{'categories': [{'id': '900-9300-0221'}], 'text': ['Mon-Fri: 09:00 - 17:00'], 'isOpen': False, 'structured': [{'start': 'T090000', 'duration': 'PT08H00M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR'}]}]","Raamco International Canadian, 105 Isabella St, Toronto, ON M4Y, Canada",CAN,Canada,ON,Ontario,Toronto,Toronto,Church-Yonge Corridor,Isabella St,M4Y,105,43.66846,-79.37992,"[{'phone': [{'value': '+14169228120'}], 'fax': [{'value': '+14169228532', 'categories': [{'id': '900-9300-0221'}]}]}]",
17,Primrose Student Residence,here:pds:place:124dpz83-d7008de384414a6cbcb521493d09d302,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 43.66233, 'lng': -79.37707}]",1078,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","[{'supplier': {'id': 'yelp'}, 'id': 'OPtQWrT8Zq-HvNUyKPdBtg'}]",,"Primrose Student Residence, 111 Carlton St, Toronto, ON M5B, Canada",CAN,Canada,ON,Ontario,Toronto,Toronto,Church-Yonge Corridor,Carlton St,M5B,111,43.66206,-79.37695,[{'phone': [{'value': '+18005658865'}]}],
18,Massey House,here:pds:place:124dpz83-98d1ed914b6d4744aa98da1697baa459,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 43.66899, 'lng': -79.37946}]",1083,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}, {'id': '900-9300-0221', 'name': 'Residential Area/Building'}]","[{'supplier': {'id': 'yelp'}, 'id': 'q1AU6sH9efqo0bAZYo-IRg'}]",,"Massey House, 550 Jarvis St, Toronto, ON M4Y, Canada",CAN,Canada,ON,Ontario,Toronto,Toronto,Church-Yonge Corridor,Jarvis St,M4Y,550,43.66893,-79.37973,"[{'phone': [{'value': '+14169622860'}], 'fax': [{'value': '+14169075391', 'categories': [{'id': '900-9300-0221'}]}], 'www': [{'value': 'http://www.massey.ca', 'categories': [{'id': '900-9300-0221'}]}]}]",
19,X Condo Consierge,here:pds:place:124dpz83-d45ec887714d4a729e0e7b7bfbc31157,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 43.66988, 'lng': -79.3804}]",1121,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]",,,"X Condo Consierge, 110 Charles St E, Toronto, ON M4Y, Canada",CAN,Canada,ON,Ontario,Toronto,Toronto,Church-Yonge Corridor,Charles St E,M4Y,110,43.67008,-79.38051,[{'phone': [{'value': '+14169226592'}]}],"[{'id': 'mastercard', 'accepted': True}]"
